"","Year","Population","Violent crime total","Murder and nonnegligent Manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime total","Burglary","Larceny-theft","Motor vehicle theft","Violent Crime rate","Murder and nonnegligent manslaughter rate","Forcible rape rate","Robbery rate","Aggravated assault rate","Property crime rate","Burglary rate","Larceny-theft rate","Motor vehicle theft rate","State"
"1538",1960,606921,81,8,25,18,30,4105,1108,2646,351,13.3,1.3,4.1,3,4.9,676.4,182.6,436,57.8,"New Hampshire"
"1539",1961,621000,89,4,19,21,45,4912,1573,2884,455,14.3,0.6,3.1,3.4,7.2,791,253.3,464.4,73.3,"New Hampshire"
"1540",1962,632000,178,15,22,22,119,6140,1781,3821,538,28.2,2.4,3.5,3.5,18.8,971.5,281.8,604.6,85.1,"New Hampshire"
"1541",1963,627000,164,20,30,43,71,5676,1751,3354,571,26.2,3.2,4.8,6.9,11.3,905.3,279.3,534.9,91.1,"New Hampshire"
"1542",1964,654000,149,6,25,43,75,6173,1827,3797,549,22.8,0.9,3.8,6.6,11.5,943.9,279.4,580.6,83.9,"New Hampshire"
"1543",1965,669000,156,18,14,46,78,6880,2117,4176,587,23.3,2.7,2.1,6.9,11.7,1028.4,316.4,624.2,87.7,"New Hampshire"
"1544",1966,681000,259,13,30,70,146,7491,2382,4411,698,38,1.9,4.4,10.3,21.4,1100,349.8,647.7,102.5,"New Hampshire"
"1545",1967,686000,218,14,23,42,139,7455,2350,4338,767,31.8,2,3.4,6.1,20.3,1086.7,342.6,632.4,111.8,"New Hampshire"
"1546",1968,702000,279,10,19,72,178,8832,2605,5235,992,39.7,1.4,2.7,10.3,25.4,1258.1,371.1,745.7,141.3,"New Hampshire"
"1547",1969,717000,325,18,29,75,203,10506,3322,6157,1027,45.3,2.5,4,10.5,28.3,1465.3,463.3,858.7,143.2,"New Hampshire"
"1548",1970,737681,413,15,44,89,265,12291,4172,6850,1269,56,2,6,12.1,35.9,1666.2,565.6,928.6,172,"New Hampshire"
"1549",1971,762000,580,17,63,123,377,15218,5082,8734,1402,76.1,2.2,8.3,16.1,49.5,1997.1,666.9,1146.2,184,"New Hampshire"
"1550",1972,771000,491,13,54,103,321,14861,4600,9299,962,63.7,1.7,7,13.4,41.6,1927.5,596.6,1206.1,124.8,"New Hampshire"
"1551",1973,791000,649,17,75,105,452,17776,5418,10863,1495,82,2.1,9.5,13.3,57.1,2247.3,685,1373.3,189,"New Hampshire"
"1552",1974,808000,739,28,68,209,434,24664,6629,15942,2093,91.5,3.5,8.4,25.9,53.7,3052.5,820.4,1973,259,"New Hampshire"
"1553",1975,818000,816,24,71,236,485,26559,6978,17470,2111,99.8,2.9,8.7,28.9,59.3,3246.8,853.1,2135.7,258.1,"New Hampshire"
"1554",1976,822000,709,27,80,204,398,28976,7706,19196,2074,86.3,3.3,9.7,24.8,48.4,3525.1,937.5,2335.3,252.3,"New Hampshire"
"1555",1977,849000,960,27,91,197,645,31235,8844,19900,2491,113.1,3.2,10.7,23.2,76,3679,1041.7,2343.9,293.4,"New Hampshire"
"1556",1978,871000,1035,12,82,229,712,34393,10101,21630,2662,118.8,1.4,9.4,26.3,81.7,3948.7,1159.7,2483.4,305.6,"New Hampshire"
"1557",1979,887000,1241,21,152,254,814,39373,10635,25856,2882,139.9,2.4,17.1,28.6,91.8,4438.9,1199,2915,324.9,"New Hampshire"
"1558",1980,919114,1653,23,159,386,1085,41358,12067,26443,2848,179.8,2.5,17.3,42,118,4499.8,1312.9,2877,309.9,"New Hampshire"
"1559",1981,935000,1375,27,154,335,859,39034,11090,25692,2252,147.1,2.9,16.5,35.8,91.9,4174.8,1186.1,2747.8,240.9,"New Hampshire"
"1560",1982,951000,1187,21,154,322,690,35229,8987,24115,2127,124.8,2.2,16.2,33.9,72.6,3704.4,945,2535.8,223.7,"New Hampshire"
"1561",1983,959000,1200,19,187,231,763,30987,7882,21359,1746,125.1,2,19.5,24.1,79.6,3231.2,821.9,2227.2,182.1,"New Hampshire"
"1562",1984,977000,1308,10,202,227,869,29347,7190,20314,1843,133.9,1,20.7,23.2,88.9,3003.8,735.9,2079.2,188.6,"New Hampshire"
"1563",1985,998000,1405,21,191,266,927,31049,7608,21459,1982,140.8,2.1,19.1,26.7,92.9,3111.1,762.3,2150.2,198.6,"New Hampshire"
"1564",1986,1027000,1433,23,221,242,947,32767,7754,22675,2338,139.5,2.2,21.5,23.6,92.2,3190.6,755,2207.9,227.7,"New Hampshire"
"1565",1987,1057000,1581,32,281,280,988,34058,7344,24426,2288,149.6,3,26.6,26.5,93.5,3222.1,694.8,2310.9,216.5,"New Hampshire"
"1566",1988,1097000,1622,25,276,231,1090,34951,7489,24964,2498,147.9,2.3,25.2,21.1,99.4,3186.1,682.7,2275.7,227.7,"New Hampshire"
"1567",1989,1107000,1865,36,327,264,1238,37945,8157,27087,2701,168.5,3.3,29.5,23.8,111.8,3427.7,736.9,2446.9,244,"New Hampshire"
"1568",1990,1109252,1459,21,386,302,750,38976,8158,28111,2707,131.5,1.9,34.8,27.2,67.6,3513.7,735.5,2534.2,244,"New Hampshire"
"1569",1991,1105000,1318,40,330,365,583,36780,8126,26220,2434,119.3,3.6,29.9,33,52.8,3328.5,735.4,2372.9,220.3,"New Hampshire"
"1570",1992,1111000,1397,18,424,367,588,32828,6909,23754,2165,125.7,1.6,38.2,33,52.9,2954.8,621.9,2138.1,194.9,"New Hampshire"
"1571",1993,1125000,1550,23,499,307,721,31131,5795,23153,2183,137.8,2,44.4,27.3,64.1,2767.2,515.1,2058,194,"New Hampshire"
"1572",1994,1137000,1328,16,407,308,597,29837,5275,22260,2302,116.8,1.4,35.8,27.1,52.5,2624.2,463.9,1957.8,202.5,"New Hampshire"
"1573",1995,1148000,1314,21,333,314,646,29170,4806,22698,1666,114.5,1.8,29,27.4,56.3,2540.9,418.6,1977.2,145.1,"New Hampshire"
"1574",1996,1162000,1373,20,404,317,632,31436,5063,24611,1762,118.2,1.7,34.8,27.3,54.4,2705.3,435.7,2118,151.6,"New Hampshire"
"1575",1997,1173000,1328,16,395,274,643,29635,4612,23430,1593,113.2,1.4,33.7,23.4,54.8,2526.4,393.2,1997.4,135.8,"New Hampshire"
"1576",1998,1185000,1270,18,400,255,597,27405,3852,22079,1474,107.2,1.5,33.8,21.5,50.4,2312.7,325.1,1863.2,124.4,"New Hampshire"
"1577",1999,1201134,1159,18,345,257,539,26247,3698,21195,1354,96.5,1.5,28.7,21.4,44.9,2185.2,307.9,1764.6,112.7,"New Hampshire"
"1578",2000,1235786,2167,22,522,453,1170,27901,4992,20761,2148,175.4,1.8,42.2,36.7,94.7,2257.8,404,1680,173.8,"New Hampshire"
"1579",2001,1259359,2144,17,458,445,1224,27089,4889,20060,2140,170.2,1.3,36.4,35.3,97.2,2151,388.2,1592.9,169.9,"New Hampshire"
"1580",2002,1274405,2056,12,446,413,1185,26250,4838,19468,1944,161.3,0.9,35,32.4,93,2059.8,379.6,1527.6,152.5,"New Hampshire"
"1581",2003,1288705,1937,17,438,480,1002,26456,4589,19934,1933,150.3,1.3,34,37.2,77.8,2052.9,356.1,1546.8,150,"New Hampshire"
"1582",2004,1299169,2202,17,466,500,1219,26658,4979,19723,1956,169.5,1.3,35.9,38.5,93.8,2051.9,383.2,1518.1,150.6,"New Hampshire"
"1583",2005,1306819,1761,19,406,365,971,24031,4192,18493,1346,135,1.5,31.1,27.9,74.3,1839,320.8,1415,103,"New Hampshire"
"1584",2006,1314895,1785,13,295,435,1042,26060,4395,20179,1486,138.8,1,22.4,33.1,79.2,1981.9,334.2,1534.6,113,"New Hampshire"
"1585",2007,1315828,1896,12,357,451,1076,26394,5074,19909,1411,144.1,0.9,27.1,34.3,81.8,2005.9,385.6,1513,107.2,"New Hampshire"
"1586",2008,1315809,2054,14,385,421,1234,28387,4266,22714,1407,156.1,1.1,29.3,32,93.8,2157.4,324.2,1726.2,106.9,"New Hampshire"
