team,wins,losses,pointdiff,opponents
Air Force,6,5,31,"[69, 64, 105, 116, 8, 15, 65, 61, 23, 71, 84]"
Akron,5,5,-7,"[42, 18, 73, 27, 49, 19, 53, 24, 115, 16]"
Alabama,4,9,-2,"[87, 90, 44, 75, 6, 43, 70, 94, 31, 58, 33, 9, 59]"
Alabama-Birmingham,5,7,-42,"[90, 101, 20, 102, 8, 11, 86, 51, 97, 31, 87, 34]"
Arizona,2,10,-248,"[77, 88, 99, 111, 97, 44, 104, 5, 81, 17, 78, 112]"
Arizona State,4,7,-50,"[17, 106, 77, 88, 4, 104, 91, 38, 67, 78, 112]"
Arkansas,9,4,131,"[69, 103, 66, 9, 28, 59, 86, 58, 44, 60, 2, 43, 95]"
Arkansas State,3,7,-234,"[47, 56, 35, 103, 69, 66, 51, 96, 58, 106]"
Army,0,13,-270,"[87, 26, 24, 34, 83, 102, 97, 61, 33, 0, 3, 20, 48]"
Auburn,7,5,85,"[47, 58, 88, 59, 94, 2, 107, 32, 31, 44, 6, 115]"
Ball State,3,8,-149,"[100, 19, 53, 14, 60, 80, 70, 27, 13, 42, 114]"
Baylor,2,9,-285,"[3, 22, 76, 89, 95, 98, 41, 69, 96, 75, 40]"
Boise State,12,1,301,"[85, 99, 103, 63, 116, 15, 45, 35, 97, 33, 89, 30, 78]"
Boston College,8,5,39,"[52, 110, 113, 10, 72, 80, 109, 79, 92, 83, 23, 24, 93]"
Bowling Green State,9,3,57,"[42, 100, 19, 53, 70, 27, 10, 53, 114, 81, 71, 74]"
Brigham Young,4,8,-114,"[32, 0, 23, 105, 12, 91, 65, 64, 72, 88, 84, 116]"
Buffalo,1,10,-245,"[1, 24, 49, 73, 70, 83, 38, 18, 53, 100, 42]"
California,8,6,116,"[88, 90, 111, 78, 23, 4, 41, 105, 36, 104, 5, 77, 91, 109]"
Central Florida,2,9,-153,"[16, 19, 53, 49, 109, 1, 73, 27, 113, 92, 42]"
Central Michigan,1,9,-159,"[100, 1, 27, 70, 14, 10, 18, 54, 114, 61]"
Cincinnati,4,7,-23,"[90, 93, 48, 26, 8, 113, 51, 97, 87, 53, 3]"
Clemson,8,4,104,"[25, 29, 31, 56, 108, 67, 110, 32, 68, 86, 50, 94]"
Colorado,5,7,-79,"[112, 60, 75, 104, 40, 62, 41, 29, 11, 23, 98, 39]"
Colorado State,6,6,39,"[22, 30, 53, 0, 13, 84, 105, 15, 65, 64, 17, 116]"
Connecticut,8,3,90,"[37, 114, 1, 13, 83, 109, 110, 68, 42, 8, 16]"
Duke,3,8,-158,"[32, 29, 71, 82, 110, 68, 108, 50, 94, 21, 67]"
East Carolina,1,11,-211,"[87, 90, 48, 34, 113, 67, 110, 51, 52, 8, 20, 102]"
Eastern Michigan,2,8,-151,"[50, 114, 18, 14, 10, 1, 70, 19, 100, 61]"
Florida,7,5,59,"[29, 58, 85, 94, 107, 86, 31, 38, 52, 44, 6, 43]"
Florida State,10,3,202,"[32, 50, 52, 22, 110, 68, 25, 108, 21, 67, 72, 28, 52]"
Fresno State,8,5,-21,"[82, 85, 78, 45, 12, 104, 23, 94, 75, 33, 89, 63, 99]"
Georgia,11,3,168,"[3, 9, 28, 56, 43, 86, 2, 107, 32, 94, 21, 44, 44, 81]"
Georgia Tech,7,6,8,"[50, 31, 9, 68, 21, 67, 15, 29, 107, 110, 25, 108, 103]"
Hawaii,8,5,36,"[30, 82, 99, 34, 12, 2, 8, 103, 45, 64, 63, 85, 88]"
Houston,7,6,-20,"[3, 82, 90, 97, 51, 59, 54, 33, 46, 8, 26, 48, 102]"
Idaho,3,7,-50,"[106, 69, 112, 56, 12, 66, 111, 7, 46, 47]"
Illinois,0,11,-222,"[17, 71, 115, 57, 55, 104, 38, 54, 81, 60, 37]"
Indiana,1,10,-241,"[36, 71, 43, 81, 74, 79, 54, 24, 111, 55, 57]"
Iowa,10,3,163,"[16, 36, 53, 28, 57, 79, 5, 54, 39, 81, 55, 74, 115]"
Iowa State,1,10,-271,"[22, 73, 75, 38, 95, 41, 70, 62, 98, 60, 40]"
Kansas,5,7,-47,"[71, 11, 60, 64, 62, 39, 41, 68, 96, 76, 22, 116]"
Kansas State,9,4,233,"[17, 22, 101, 11, 49, 60, 40, 62, 39, 75, 76, 74, 95]"
Kent,4,7,-78,"[16, 53, 18, 24, 10, 1, 80, 79, 49, 73, 14]"
Kentucky,3,8,-24,"[48, 28, 73, 6, 59, 94, 107, 86, 31, 37, 2]"
Louisiana State,12,1,293,"[31, 31, 47, 9, 28, 45, 6, 86, 58, 75, 59, 4, 2]"
